Customer_ID,Age,Tenure_Months,Account_Balance,Monthly_Income,Previous_Month_Transactions,Current_Month_Transactions,Digital_Login_Frequency,UPI_Transactions,Card_Usage_Frequency,Loan_Active,Investment_Active,Complaint_Count,Days_Since_Last_Login,Salary_Account,Auto_Debit_Active,Churn
CUST100044,38,106,977684,31428,82,8,1,6,31,1,1,0,47,1,0,1
CUST100045,26,144,172929,49578,51,47,28,10,37,0,1,1,65,1,0,0
CUST100046,56,72,757556,101486,73,66,3,72,39,0,0,0,22,0,1,0
CUST100047,35,129,191912,79140,62,82,28,48,45,0,0,2,38,0,0,0
CUST100048,21,108,847334,122325,40,35,30,29,4,0,0,2,68,0,0,0
CUST100049,42,5,6577,98829,36,70,16,40,16,1,0,0,20,1,1,0
CUST100050,31,3,807434,21364,68,43,9,2,21,0,1,1,119,1,0,1
CUST100051,67,132,51711,143867,75,81,26,39,38,0,1,2,85,1,0,0
CUST100052,26,104,564739,181421,46,59,14,50,40,0,0,2,48,1,0,0
CUST100053,43,64,494027,146763,52,62,30,31,47,0,1,0,74,0,1,0
CUST100054,19,106,705463,110598,78,4,20,47,17,1,1,1,93,1,1,1
CUST100055,37,98,422863,212539,85,86,25,70,27,1,0,0,91,0,1,0
CUST100056,45,10,560119,191968,34,85,16,70,12,0,0,1,35,0,0,0
CUST100057,64,149,250402,72062,25,89,2,19,49,0,0,1,80,1,0,1
CUST100058,24,128,756664,243338,64,75,13,34,41,0,1,4,84,0,0,1
CUST100059,61,46,883930,225834,17,39,12,23,0,1,0,1,36,1,1,0
CUST100060,25,155,916381,159933,5,18,26,39,49,0,1,1,99,1,1,0
CUST100061,64,66,245942,242909,69,46,0,76,18,0,0,2,88,1,0,1
CUST100062,52,169,96119,103302,37,64,16,51,33,1,1,0,87,0,1,0
CUST100063,31,112,854262,247782,42,66,33,38,3,0,0,0,93,1,0,0
CUST100064,34,13,343776,78928,29,17,13,67,42,1,1,1,41,1,1,0
CUST100065,53,137,824265,229303,30,49,16,60,2,0,1,1,61,1,1,0
CUST100066,67,164,768754,56347,81,29,2,75,40,1,0,1,98,1,0,1
CUST100067,57,86,749224,18121,63,65,33,64,9,0,1,1,84,1,1,0
CUST100068,21,90,811830,98793,37,4,24,61,27,0,1,2,5,0,0,0
CUST100069,19,58,586842,43164,45,41,1,1,33,0,1,0,84,1,0,0
CUST100070,23,54,51755,40491,34,83,33,5,38,1,0,1,7,1,1,0
CUST100071,59,12,936210,74222,61,4,25,74,46,1,0,0,68,1,0,0
CUST100072,21,14,154412,169237,53,49,30,42,18,0,1,1,39,1,0,0
CUST100073,46,121,852426,18748,52,84,8,39,41,1,1,0,9,0,1,0
CUST100074,35,162,589172,244653,76,57,29,38,45,1,0,1,30,0,1,0
CUST100075,43,121,871793,41553,53,78,19,27,35,1,1,1,29,1,0,0
CUST100076,61,20,542770,131547,51,83,20,79,42,1,0,2,50,0,0,0
CUST100077,51,75,55225,75380,60,7,28,62,2,0,1,2,84,0,1,0
CUST100078,27,144,190921,59331,69,30,24,63,22,1,0,2,35,0,0,0
CUST100079,53,70,600142,242105,16,11,24,11,16,0,0,1,60,0,1,1
CUST100080,31,56,566544,242916,73,20,8,40,6,0,0,0,26,1,0,1
CUST100081,48,101,241617,135617,10,61,25,28,25,0,0,2,101,1,0,1
CUST100082,65,132,109721,54560,69,89,15,22,42,1,0,1,34,0,0,0
CUST100083,32,111,606398,68865,29,32,11,79,17,1,0,3,59,1,0,0
CUST100084,25,125,114606,192758,5,25,23,50,45,1,0,0,31,0,1,0
CUST100085,31,132,539938,90910,36,89,25,44,45,1,0,0,89,1,0,0
CUST100086,40,20,178190,150747,7,39,19,21,5,1,1,1,3,0,0,0
CUST100087,57,138,29930,212778,53,64,8,9,30,0,0,3,90,1,1,1
CUST100088,38,24,742067,92986,23,58,22,6,28,0,0,0,99,0,0,1
CUST100089,33,154,261102,222288,64,14,28,72,8,0,1,1,100,1,0,1
CUST100090,62,37,363544,25068,33,0,30,14,34,0,1,2,26,1,0,0
CUST100091,35,54,274945,69460,54,10,18,76,16,0,1,0,46,1,0,0
CUST100092,64,103,576648,115766,6,54,19,45,11,0,0,2,111,0,0,1
CUST100093,41,149,875340,61418,77,1,22,60,35,1,1,3,5,1,0,0
CUST100094,43,38,148631,41206,60,64,26,60,47,1,1,1,81,0,0,0
CUST100095,42,174,295478,143180,21,43,29,50,23,0,0,2,25,1,1,0
CUST100096,62,4,237545,15287,64,15,20,37,9,1,1,1,107,0,0,1
CUST100097,58,57,14288,37337,40,21,34,11,29,0,0,0,23,1,1,0
CUST100098,46,173,678758,166738,65,17,6,76,28,1,0,1,115,0,1,1
CUST100099,32,20,208302,147233,21,46,21,65,38,0,0,1,70,1,0,0
CUST100100,62,17,799623,115667,53,80,9,53,9,0,1,1,118,1,0,1
CUST100101,18,119,281195,105071,80,29,22,38,38,1,0,0,43,1,0,0
CUST100102,42,71,62715,113064,64,9,14,75,27,0,0,1,13,1,0,0
CUST100103,24,4,11737,184823,24,57,29,38,17,0,0,0,12,0,1,0
CUST100104,26,14,590428,228135,54,61,33,77,40,0,0,1,25,0,1,0
CUST100105,41,3,681611,121511,7,84,12,29,49,1,0,2,42,0,1,0
CUST100106,18,80,183047,235461,47,79,3,47,16,1,0,0,42,1,1,0
CUST100107,61,55,268291,160830,61,5,17,30,10,0,0,2,65,1,0,1
CUST100108,25,132,575796,211852,54,66,22,24,0,1,1,0,109,1,0,1
CUST100109,41,120,315368,18178,72,40,32,67,16,0,0,0,110,0,0,0
CUST100110,28,24,282787,46831,85,42,33,50,35,0,0,0,86,1,1,0
CUST100111,68,162,302111,148248,54,84,33,12,35,0,0,0,27,1,1,0
CUST100112,34,158,104535,118306,41,76,34,62,45,1,0,0,0,1,0,0
CUST100113,25,82,828165,179726,50,17,16,41,8,0,0,1,95,1,0,1
CUST100114,52,147,297952,172699,46,57,27,53,44,0,0,1,11,0,0,0
CUST100115,52,159,513438,198622,19,59,13,66,27,0,1,1,109,0,1,0
CUST100116,50,60,723648,127025,37,87,33,79,47,0,0,2,49,0,1,0
CUST100117,22,147,584247,190982,84,26,10,55,32,1,0,0,52,1,0,1
CUST100118,59,49,396065,105417,15,67,12,18,2,0,0,1,119,1,0,1
CUST100119,56,63,331322,204323,24,21,32,45,7,0,1,4,59,0,0,0
CUST100120,58,110,723496,181494,28,23,1,14,49,0,1,1,54,0,0,0
CUST100121,45,150,192812,26984,68,39,33,31,5,0,0,3,34,0,1,0
CUST100122,24,152,113255,104312,84,73,28,48,5,1,0,1,60,1,0,0
CUST100123,26,109,611610,207458,69,65,3,20,28,0,1,2,25,0,1,0
CUST100124,25,76,831997,98291,77,39,11,64,36,0,0,3,30,0,0,0
CUST100125,29,30,938687,22135,80,5,25,69,11,0,0,0,56,0,0,0
CUST100126,51,58,509522,15320,21,17,27,26,8,0,0,2,11,0,0,0
CUST100127,50,117,2132,249030,65,80,2,22,40,1,0,4,92,1,1,1
CUST100128,65,159,694619,240243,19,86,19,46,48,1,1,1,4,1,1,0
CUST100129,40,100,752972,167756,55,29,9,11,18,0,1,1,98,0,0,1
CUST100130,41,19,851100,201985,31,20,17,65,16,0,1,3,6,1,0,0
CUST100131,54,176,260427,103774,78,61,26,4,47,1,0,0,15,0,0,0
CUST100132,52,173,432779,167961,65,9,30,8,43,1,0,1,95,1,0,1
CUST100133,61,94,486443,241921,62,12,26,19,31,0,0,2,51,0,1,0
CUST100134,57,113,634123,113071,35,75,0,62,34,1,1,2,80,0,0,1
CUST100135,39,146,143003,194971,16,8,5,71,13,1,1,3,20,1,0,0
CUST100136,44,63,783516,156842,50,67,10,72,48,0,0,2,26,0,1,0
CUST100137,52,116,598457,185393,35,38,33,70,15,0,0,2,103,0,0,0
CUST100138,18,113,261529,232034,36,23,19,29,20,1,0,1,110,1,0,1
CUST100139,52,47,444855,124863,36,33,20,15,11,0,1,0,115,1,0,1
CUST100140,54,57,254608,56777,57,60,20,4,23,1,0,1,78,1,1,0
CUST100141,64,118,759673,61250,65,40,17,28,33,1,0,0,22,1,1,0
CUST100142,31,45,715261,88034,50,4,20,46,7,1,0,1,71,1,0,1
CUST100143,20,161,625705,119940,89,78,18,21,43,0,0,4,24,1,1,0
CUST100144,18,145,526332,55130,78,49,3,77,20,0,1,0,10,1,0,0
CUST100145,22,4,178763,228003,84,3,12,56,47,0,1,1,62,1,1,0
CUST100146,43,148,232807,195418,11,50,17,34,7,1,1,1,56,0,1,0
CUST100147,31,47,25363,148609,8,51,28,59,27,1,1,1,84,0,1,0
CUST100148,56,143,309838,230834,56,38,24,69,15,1,0,1,53,0,1,0
CUST100149,44,47,395798,30216,35,7,12,59,9,0,0,0,118,0,0,1
CUST100150,26,78,998414,99149,79,44,26,57,14,1,0,4,9,1,1,0
CUST100151,32,124,985348,18009,88,87,18,2,3,1,1,1,49,0,1,0
CUST100152,32,75,808733,104904,40,27,0,33,25,0,0,0,72,0,0,1
CUST100153,43,103,337473,175399,58,26,18,44,14,0,1,1,111,0,1,0
CUST100154,59,137,2620,160281,58,64,0,49,35,1,0,1,0,0,1,0
CUST100155,30,90,325368,194515,21,33,16,1,31,1,0,0,85,1,0,1
CUST100156,68,144,450871,30029,79,80,20,14,42,1,1,1,69,1,0,0
CUST100157,49,69,96419,213685,34,61,21,36,37,0,1,1,29,1,1,0
CUST100158,56,61,693894,225515,26,61,14,14,3,0,0,2,54,0,1,0
CUST100159,66,138,907482,203069,47,37,31,59,40,1,0,1,97,1,1,0
CUST100160,69,50,497712,117171,31,25,3,63,8,1,1,3,76,1,1,0
CUST100161,49,3,957894,129456,41,23,31,51,34,1,1,0,85,1,1,0
CUST100162,21,107,727989,77559,50,38,3,22,27,1,0,0,5,1,1,0
CUST100163,47,113,843288,79892,39,20,0,36,36,0,0,0,104,1,0,1
CUST100164,54,94,181324,85409,8,46,32,40,46,1,0,0,109,1,1,0
CUST100165,40,118,318953,154707,84,47,6,56,8,0,0,1,23,1,0,1
CUST100166,56,81,547547,48065,84,12,8,24,1,0,1,1,84,1,0,1
CUST100167,62,109,21655,135544,89,2,0,36,2,0,0,6,102,1,0,1
CUST100168,32,51,951509,122340,30,31,15,39,43,1,0,2,86,1,0,1
CUST100169,60,147,950133,48783,23,34,17,45,47,1,0,0,4,1,0,0
CUST100170,46,170,942114,49152,85,18,5,59,4,0,0,3,6,0,0,1
CUST100171,53,35,451400,73741,49,13,1,18,9,0,0,1,2,0,0,1
CUST100172,30,46,22602,122049,30,47,8,8,27,1,0,1,118,1,0,1
CUST100173,49,154,873377,197574,26,85,3,68,14,0,0,1,12,0,0,1
CUST100174,24,69,667470,44092,62,80,22,4,13,1,0,0,53,1,1,0
CUST100175,68,93,924577,163725,67,67,7,25,45,0,0,0,62,0,1,0
CUST100176,39,64,888278,244071,32,44,24,18,22,0,0,1,75,0,1,0
CUST100177,45,165,343962,245636,69,18,15,29,12,0,1,0,5,1,0,0
CUST100178,19,49,928699,186541,48,63,34,47,15,0,0,1,97,1,1,0
CUST100179,59,149,526825,101483,47,65,16,15,29,0,0,1,78,1,0,0
CUST100180,62,74,411354,136585,41,78,17,70,39,0,0,1,46,0,0,0
CUST100181,23,5,962832,74754,70,65,26,17,7,0,1,3,81,1,1,0
CUST100182,45,100,781498,176050,21,74,14,55,16,0,1,3,54,0,1,0
CUST100183,45,70,702562,102592,44,44,16,20,29,1,0,2,48,0,1,0
CUST100184,61,90,172236,109543,42,86,4,30,16,0,1,1,56,0,1,0
CUST100185,61,4,913977,58169,89,73,15,0,34,0,0,1,2,1,0,0
CUST100186,37,126,90743,194359,65,66,14,2,0,1,0,3,21,0,1,0
CUST100187,47,39,448875,69745,13,68,33,24,48,1,0,2,34,1,1,0
CUST100188,28,163,87155,125168,81,2,18,7,23,0,0,1,27,0,1,1
CUST100189,45,129,968196,128985,79,37,7,64,47,1,0,0,104,0,1,1
CUST100190,42,24,907630,20543,65,76,9,61,48,1,1,1,41,0,0,0
CUST100191,56,57,943349,202464,84,41,4,6,24,1,1,0,11,1,0,0
CUST100192,50,100,90846,36067,20,82,25,6,1,0,0,2,118,1,0,1
CUST100193,18,70,759795,66033,6,39,21,7,24,1,0,0,0,0,0,0
CUST100194,44,41,293706,60256,76,49,22,18,13,0,0,1,99,1,0,1
CUST100195,69,174,815468,236705,47,34,12,16,38,0,0,1,93,1,0,1
CUST100196,30,60,717112,215417,46,23,8,10,32,1,1,1,116,1,1,1
CUST100197,58,108,861665,168263,81,87,19,48,16,0,1,2,118,1,1,0
CUST100198,20,57,608337,101803,61,16,27,10,30,1,1,2,22,0,1,0
CUST100199,56,31,240647,218814,85,39,23,40,9,0,1,2,100,1,0,1
CUST100200,23,84,331825,133843,71,73,32,61,5,0,0,1,27,1,0,0
CUST100201,25,152,290962,232665,34,65,19,51,38,1,0,0,112,1,1,0
CUST100202,44,36,949048,43992,17,43,29,65,24,0,0,2,116,1,0,0
CUST100203,26,158,849964,227603,23,22,8,67,37,1,0,3,68,0,1,0
CUST100204,54,152,997140,63803,11,5,16,74,36,1,1,2,35,0,1,0
CUST100205,50,108,320849,124975,13,65,13,66,29,1,0,1,53,1,0,1
CUST100206,68,106,545392,209549,87,20,18,39,33,0,0,2,46,1,1,1
CUST100207,59,158,387480,159282,58,34,6,4,17,0,1,1,55,0,0,1
CUST100208,61,86,653192,229401,86,28,2,21,23,1,1,0,9,0,1,0
CUST100209,41,135,857035,41270,65,6,32,36,48,1,0,2,4,1,0,0
CUST100210,32,163,627787,208080,6,52,31,10,26,0,1,1,13,0,0,0
CUST100211,49,14,846457,151269,54,36,10,43,26,1,0,2,23,0,1,0
CUST100212,49,120,752624,22452,79,22,1,52,38,1,0,0,62,0,1,1
CUST100213,41,138,819749,56486,35,7,25,76,20,1,0,1,27,1,1,0
CUST100214,58,80,425632,29859,37,75,3,60,18,0,0,2,20,1,0,0
CUST100215,69,144,174084,173308,82,47,16,66,38,0,1,3,108,1,1,0
CUST100216,66,106,525156,177971,84,9,16,12,22,0,0,1,114,1,1,1
CUST100217,66,70,893017,47083,15,78,27,10,38,0,1,3,103,0,1,1
CUST100218,69,44,462261,82708,37,23,29,10,47,1,1,1,75,0,1,0
CUST100219,29,73,677760,126462,11,89,22,6,43,0,0,2,19,1,1,0
CUST100220,56,45,311414,162735,35,46,23,16,46,1,1,3,61,0,1,0
CUST100221,19,107,204141,108076,52,52,28,47,14,0,0,2,114,1,1,0
CUST100222,20,84,644703,34053,51,38,3,13,42,0,0,0,95,1,0,1
CUST100223,66,82,444049,157157,82,66,28,62,1,0,1,0,50,0,0,0
CUST100224,54,107,195716,176636,57,65,18,63,34,0,1,3,101,1,1,0
CUST100225,66,21,605494,104745,84,5,26,74,19,0,0,3,39,1,1,1
CUST100226,34,178,332612,205167,23,20,28,76,27,0,1,3,105,1,1,0
CUST100227,66,161,191545,84517,85,72,34,64,14,1,0,2,84,0,0,0
CUST100228,19,7,964313,167225,10,73,5,33,15,0,1,1,80,0,0,0
CUST100229,19,70,432544,151319,53,35,22,8,32,0,0,3,64,1,0,1
CUST100230,45,127,431000,156625,77,2,7,76,46,1,0,1,114,1,0,1
CUST100231,40,143,24723,166883,54,87,1,36,11,0,0,1,107,0,0,1
CUST100232,54,160,848078,241453,85,85,12,29,38,0,0,1,27,1,1,0
CUST100233,49,148,722615,152207,16,77,20,40,38,0,0,0,53,1,0,0
CUST100234,50,143,525362,151645,27,41,30,44,42,0,1,0,1,1,0,0
CUST100235,18,176,780533,94267,58,44,26,46,19,1,0,2,80,0,0,1
CUST100236,36,149,289642,153261,73,43,22,6,28,0,0,2,102,0,1,1
CUST100237,19,170,721882,95077,63,32,20,13,42,1,0,2,13,0,1,0
CUST100238,61,154,622169,189718,40,59,12,47,48,1,0,1,13,0,0,0
CUST100239,43,120,414757,91623,7,85,25,5,2,0,1,1,43,1,1,0
CUST100240,49,128,571217,146004,62,82,6,33,47,1,1,2,111,0,0,1
CUST100241,23,142,124199,68687,59,82,21,79,4,0,1,0,81,1,0,0
CUST100242,49,57,232525,83312,61,69,22,45,1,0,0,0,39,0,1,0
CUST100243,21,165,289172,122615,21,82,29,58,22,0,0,1,33,1,0,0
CUST100244,28,58,30545,145976,43,76,17,69,25,0,0,2,106,0,1,0
CUST100245,34,21,604857,42564,72,25,17,7,25,0,1,1,64,0,1,1
CUST100246,55,82,32673,43835,59,85,9,23,6,0,1,2,105,0,1,1
CUST100247,41,69,425190,207659,49,20,29,66,9,1,0,3,17,1,0,0
CUST100248,22,131,453115,22697,80,1,25,3,4,1,0,1,111,0,0,1
CUST100249,69,87,417313,95165,5,46,6,0,46,0,1,3,33,0,0,1
CUST100250,51,165,889943,219994,25,29,6,33,11,1,1,2,86,0,0,1
CUST100251,23,49,356288,163118,87,26,4,8,31,1,1,2,48,1,0,1
CUST100252,39,147,327968,72823,25,70,0,62,41,0,0,4,79,1,0,1
CUST100253,28,115,24525,219652,56,19,17,75,30,0,1,1,82,1,1,0
CUST100254,65,89,583092,199442,86,49,12,9,21,0,0,1,100,1,1,1
CUST100255,33,85,147115,24615,47,22,24,9,16,0,1,0,54,0,0,0
CUST100256,50,128,567134,151132,56,12,7,49,19,0,1,1,61,1,0,1
CUST100257,26,140,78261,145499,71,80,9,43,19,0,1,0,69,0,0,0
CUST100258,23,169,758600,91436,48,3,31,47,42,1,1,1,23,0,0,0
CUST100259,33,161,501827,206591,36,13,16,5,7,0,0,1,80,1,0,1
CUST100260,46,178,968731,135562,14,19,14,23,46,0,0,1,47,1,0,0
CUST100261,20,117,185100,86117,68,12,14,57,33,0,0,2,79,0,1,1
CUST100262,37,127,955887,207230,83,2,19,63,48,0,0,1,38,0,1,0
CUST100263,53,71,816915,49782,73,89,14,55,22,0,0,1,47,1,0,0
CUST100264,36,86,8265,231781,72,89,34,11,37,0,0,2,104,1,1,0
CUST100265,43,33,810195,93533,32,81,5,34,27,1,1,1,118,0,0,1
CUST100266,20,81,207724,204327,57,77,29,70,12,0,0,2,69,0,1,0
CUST100267,36,152,16733,87684,55,46,7,5,28,0,1,0,79,1,0,0
CUST100268,37,61,899628,202990,57,2,30,64,7,0,1,1,8,1,0,0
CUST100269,49,61,616326,230356,8,0,31,79,10,1,0,1,28,1,0,0
CUST100270,24,98,300564,94558,83,89,14,59,46,1,0,1,67,0,0,0
CUST100271,69,28,665607,231621,21,23,17,67,44,0,0,1,59,1,1,0
CUST100272,58,43,942344,96422,71,34,12,28,17,0,1,2,25,0,1,0
CUST100273,50,169,459365,171328,78,13,23,37,49,0,0,0,117,1,1,1
CUST100274,57,167,22058,176077,51,66,13,21,24,0,0,0,37,0,0,0
CUST100275,56,86,247301,21638,60,12,27,7,48,1,1,0,61,0,1,0
CUST100276,35,177,298073,52419,27,46,10,62,21,0,0,0,25,0,1,0
CUST100277,57,17,163434,48377,22,49,5,12,44,1,1,1,13,1,1,0
CUST100278,18,98,611777,121244,5,77,24,26,34,0,0,1,98,1,1,0
CUST100279,28,98,609952,189188,39,84,0,17,28,0,1,1,118,1,1,1
CUST100280,45,65,703716,182706,68,25,24,17,20,1,1,1,48,1,1,0
CUST100281,42,74,78597,228363,62,2,1,76,6,0,1,0,42,1,1,0
CUST100282,67,85,793473,38382,63,50,31,61,11,1,0,3,87,1,0,0
CUST100283,40,5,79209,202135,5,39,12,13,35,0,0,2,7,1,0,0
CUST100284,48,2,783397,168466,7,67,32,10,23,0,1,0,39,1,1,0
CUST100285,47,22,980458,82789,71,35,31,16,31,1,0,0,24,0,1,0
CUST100286,59,112,193941,249318,41,50,23,50,26,0,0,1,62,1,0,0
CUST100287,52,57,677419,125634,87,0,26,13,31,0,1,1,3,0,1,0
CUST100288,24,66,625152,146936,33,32,3,56,31,0,0,2,14,1,0,0
CUST100289,33,74,963226,114572,37,6,23,5,31,1,0,3,15,0,0,0
CUST100290,43,98,149620,186294,65,51,22,56,25,0,1,1,53,1,0,0
CUST100291,65,144,409294,159738,8,10,28,3,10,0,0,3,10,1,1,0
CUST100292,69,112,399635,138664,18,26,33,10,45,0,0,2,27,0,0,0
CUST100293,66,179,167562,167027,37,13,20,73,17,0,1,4,6,1,0,0
CUST100294,19,125,208158,125674,26,85,29,10,38,1,1,0,113,1,0,0
CUST100295,18,167,640446,118533,52,79,25,78,4,0,0,0,37,0,0,0
CUST100296,65,86,977264,96845,7,45,19,7,15,1,1,0,23,0,1,0
CUST100297,29,76,948841,84590,89,75,15,58,10,0,1,1,94,0,0,0
CUST100298,22,88,2468,142775,27,9,2,20,34,1,0,0,67,1,1,1
CUST100299,54,168,287453,81471,72,23,24,64,47,1,0,3,36,1,1,0
CUST100300,49,38,984848,234386,25,60,22,23,10,1,0,1,119,1,0,1
CUST100301,26,59,73255,58298,47,17,0,29,41,0,1,1,34,0,1,0
CUST100302,58,138,783366,209180,89,85,32,56,22,0,1,3,5,0,0,0
CUST100303,52,99,869331,63924,30,8,14,79,33,1,0,0,109,0,0,1
CUST100304,36,63,554006,162781,45,16,16,72,47,0,1,4,32,0,1,0
CUST100305,65,49,226409,24726,42,57,33,16,16,0,1,0,115,1,1,0
CUST100306,33,32,240967,206896,15,12,16,58,9,1,0,0,95,1,0,0
CUST100307,20,135,694201,55542,33,49,3,30,17,0,1,0,109,0,0,1
CUST100308,37,21,992052,166317,64,5,12,63,43,1,0,1,101,1,1,1
CUST100309,41,20,739925,49753,71,84,3,47,7,0,1,2,98,0,1,1
CUST100310,50,154,965164,94788,69,50,6,22,25,1,0,0,80,1,0,1
CUST100311,41,127,369697,36316,65,35,8,69,2,0,1,1,53,0,0,0
CUST100312,69,68,837713,248979,23,70,22,29,23,0,1,3,95,1,0,0
CUST100313,28,110,376595,99698,50,24,32,54,2,1,0,1,13,0,0,0
CUST100314,66,116,248113,30960,53,10,32,6,37,0,1,0,18,1,0,0
CUST100315,25,143,788199,45791,26,43,19,74,1,1,1,2,87,0,0,0
CUST100316,53,120,398111,40216,82,13,3,11,34,1,1,1,102,0,0,1
CUST100317,55,79,583314,178539,61,28,0,59,16,0,0,0,10,1,1,0
CUST100318,57,116,905574,79427,18,73,33,51,8,1,0,1,70,0,0,0
CUST100319,37,92,568256,127470,48,49,26,26,35,0,1,1,44,1,1,0
CUST100320,52,14,696457,208119,20,4,20,11,21,1,1,1,59,1,0,1
CUST100321,65,155,409548,88290,81,71,23,12,30,0,1,4,87,1,0,1
CUST100322,42,125,146693,62014,16,68,14,71,33,1,1,2,118,1,0,0
CUST100323,52,168,602158,150150,59,87,34,79,23,0,0,0,116,0,1,0
CUST100324,42,58,543462,224461,55,56,24,61,8,0,0,1,57,1,0,0
CUST100325,46,28,911789,65519,43,25,8,28,45,0,0,2,87,1,0,1
CUST100326,35,26,886621,19042,37,5,16,34,42,0,1,1,77,1,0,1
CUST100327,63,113,565790,64052,37,15,20,59,1,0,1,3,23,0,0,0
CUST100328,35,66,299818,29389,33,59,12,28,20,0,1,0,10,1,0,0
CUST100329,19,153,562548,110961,73,11,2,30,33,0,0,2,71,0,1,1
CUST100330,52,131,961002,83111,74,74,3,76,26,0,1,0,43,0,0,0
CUST100331,33,44,723969,120058,35,2,3,75,36,0,1,0,78,0,1,0
CUST100332,58,97,705824,108715,84,62,27,60,6,0,1,2,105,0,1,0
CUST100333,53,42,597093,65733,35,63,6,1,21,0,0,0,117,0,0,1
CUST100334,50,6,196991,49754,50,61,25,32,3,0,1,4,65,0,1,0
CUST100335,21,167,784924,164696,81,5,10,71,13,1,1,3,87,1,1,1
CUST100336,50,23,186541,100886,56,18,23,61,33,1,1,3,44,0,1,0
CUST100337,31,89,18194,172753,14,17,9,58,22,0,1,4,73,1,0,0
CUST100338,38,123,683171,104524,78,79,12,39,43,1,1,0,31,0,1,0
CUST100339,65,178,859809,96006,45,86,18,48,41,0,0,0,16,0,1,0
CUST100340,37,171,656152,39704,81,42,18,31,24,1,0,2,53,1,0,0
CUST100341,25,147,519953,109913,7,72,11,37,0,0,1,3,9,1,0,0
